Unnamed: 0,deg_0,ne_0,deg_1,ne_1,deg_2,ne_2,deg_4,ne_4,deg_5,ne_5,deg_6,ne_6,deg_7,ne_7,id
41,2248.010782,413.2638965,2848.184533,333.05115,4529.391259,998.9588599,2826.386387,330.8054609,1780.90609,669.8307298,2206.588784,486.2020418,3727.432495,751.5180478,3
42,2280.683051,422.5991205,2215.622338,258.209037,3284.9774,898.3476676,2059.879408,229.4719374,1211.810889,445.5863495,673.3198318,147.9649311,4073.378942,832.1868007,3
43,1473.786295,273.7541355,1395.608938,154.4142844,4281.99749,946.2336614,1747.231024,208.3477068,2716.684215,1040.73569,3745.421215,793.7788503,4058.011899,869.2989272,4
44,2258.948311,403.0514542,1805.644912,195.5210467,4721.198922,1032.771223,2052.935214,217.8683978,1764.88093,640.8686322,2648.325585,624.7208377,5104.668421,1106.426535,4
45,1767.012685,324.9492009,1116.302084,123.5295907,6359.392495,1470.058854,1477.055626,170.9293928,736.7375614,278.1359793,3162.192854,766.0073308,5331.562467,1295.037648,4
46,1977.705972,355.7703775,1143.535213,129.0275411,4963.163903,1131.331714,1550.069799,179.0376029,2145.93225,853.0390498,3214.324594,742.2518411,6340.504634,1485.432432,4
47,1534.217598,290.1280804,1621.475186,180.4321302,3810.178463,884.542746,1475.933861,165.9685927,843.0256038,313.079031,1806.275407,420.6744796,3096.031262,720.8700561,4
48,3293.062069,564.7487371,1547.934113,165.2972663,5717.910378,1200.579496,1617.348917,179.8266812,2856.341342,1189.513247,3859.17198,940.4792785,4353.474565,957.4668767,4
49,1682.500172,290.4967037,2177.710636,255.7043843,3025.777617,657.2094868,2059.523418,233.9531325,870.4093183,308.727056,2380.652999,502.7928606,3267.176333,726.7552385,4
50,3970.86361,723.1167079,1916.683867,194.2594584,7628.062639,1770.563993,1390.986101,144.1701524,2138.383729,762.6384911,3663.332012,837.8277823,8910.587752,1864.926592,4
51,1524.348634,287.939757,1514.773638,169.2123989,4256.381289,951.721024,1470.061868,171.2951539,1192.400622,497.4548502,1744.084876,404.6966094,4858.770326,1070.716162,4
52,2050.521103,356.2532502,1215.414845,140.6423627,4320.869566,884.2935337,1484.1708,165.7294185,495.269966,206.6852074,3505.806735,803.669751,4775.077747,1064.206143,4
53,1581.973598,276.4543347,1261.263275,141.5079607,5002.922183,1146.09468,1387.522965,157.5349479,823.4057127,301.249047,2295.098001,506.2362282,5282.171177,1131.227507,4
