,deg_1_lob,ne_1_lob,deg_2_lob,ne_2_lob,deg_3_lob,ne_3_lob,deg_4_lob,ne_4_lob,deg_5_lob,ne_5_lob,deg_7_lob,ne_7_lob,deg_8_lob,ne_8_lob,deg_10_lob,ne_10_lob,deg_11_lob,ne_11_lob,deg_12_lob,ne_12_lob,deg_13_lob,ne_13_lob,deg_14_lob,ne_14_lob,id
23,1435.595694,247.508274,1218.0405,367.6369596,3022.449495,1168.359354,2969.432209,625.7792459,328.4977028,158.0465947,794.4417869,223.8619805,721.4513163,183.7560707,499.5537968,235.2644867,2034.32527,466.7100463,3251.439031,1272.771017,1172.931993,293.2329982,1601.262644,260.510234,2
24,2025.050861,352.2981612,4024.179727,1342.942661,3814.912647,1541.236499,2632.302467,577.9021767,385.728685,184.4512736,1363.047126,365.684872,1084.352458,287.2719221,432.5437227,205.6655656,2655.362723,607.5644144,3100.431349,1247.322929,4461.773355,1505.657739,2182.497972,379.0500702,2
25,2823.251915,487.6994427,1004.743475,306.8774611,3372.498712,1232.252476,3092.609346,729.1012913,450.0710571,208.4777438,989.0237868,230.6232203,900.8275598,214.8251325,358.1381279,170.214272,3346.845199,729.0402599,2579.629861,1072.554261,2013.761012,735.7198291,2057.640471,359.9245965,2
26,2108.474027,346.8016273,2572.415588,838.2469963,4454.59666,2006.578464,3302.406395,717.2280734,431.5586022,206.3820499,475.1153969,124.0449632,355.4365915,89.24134542,389.6388804,184.8219813,1873.453315,401.036756,3681.728827,1492.878191,3370.784766,1139.876993,1957.649444,348.6736306,2
27,2248.103946,394.7743046,2579.266594,897.4816817,3143.96348,1337.221468,2423.309377,519.7532564,501.4813837,239.5708504,464.498832,131.705077,443.4217468,98.5427367,522.4075692,242.9396238,2660.540752,584.556787,3384.606344,1429.443754,3649.924842,1300.824802,2361.671449,399.0378634,3
28,1157.519143,187.7741268,2595.610956,898.4059627,6313.191834,2575.876256,1243.702454,267.4856763,622.9210847,295.8991144,1618.039567,447.5210365,1735.381885,461.75927,614.7152,291.6260092,1171.946987,253.5907779,4856.31082,1944.25168,3046.307879,1034.766381,1175.538248,188.9406921,3
29,1537.509216,255.2251515,3055.949598,1040.612253,4541.462876,1668.952911,2505.451806,553.2074289,533.535757,254.0702678,1245.56711,307.2877923,1201.961575,281.6204937,561.5659434,265.1541303,2051.260781,480.8799254,3306.439857,1362.325034,2930.923003,971.6222272,1446.741464,211.7282364,3
30,1579.56518,265.2925695,2671.696307,841.7781521,3144.362286,1175.567744,2493.712329,535.8410195,494.0072907,232.9326502,1190.404756,318.3658364,1153.942773,306.6802371,526.6497067,245.6518282,1787.717851,391.1380668,3459.508699,1340.880625,1584.672226,516.4476359,1320.446001,218.7249474,3
31,2983.305841,489.5060872,3494.9374,1181.333647,3318.026484,1264.598888,2056.938352,472.7350251,465.9988303,208.3615403,1320.959524,334.3192783,1147.074375,284.9099819,441.4921884,211.466159,1562.166254,359.9408188,3349.061463,1286.38161,2984.529973,1039.764348,2553.781898,459.501,3
32,2077.332099,368.089964,3462.936744,1129.295817,1944.222945,742.8938858,2107.732271,473.9931375,518.5621925,242.834605,665.9231855,180.0107134,729.3854612,181.3888745,520.2325055,248.3645643,1967.644398,433.4244792,1648.160015,599.0451052,2797.804077,937.6807325,2097.758629,372.836022,3
33,1347.230214,246.6414957,2680.261745,866.0936654,266.0604838,88.68682792,2238.673127,521.7841572,281.1260937,134.3072401,689.9322463,165.3119028,741.9214937,178.4951002,312.2330903,148.8859485,2300.265366,515.7574329,1338.103546,542.4639162,2154.510451,713.7915283,1577.110071,295.3691213,3
34,2804.983717,469.1166014,3553.914645,1158.986542,3282.792364,1463.90763,2368.216619,527.7828544,449.1477429,211.6360769,865.9506396,218.896743,979.0355844,251.3950164,473.3008182,227.4999855,2593.391658,563.7637516,3760.546932,1490.284073,2881.507218,881.3853993,3084.470667,506.1661418,3
35,1959.745789,335.9258603,4320.410716,1455.409015,209.2270928,86.79396692,3104.692754,688.1886679,264.6430282,120.0597922,865.1179663,207.8472876,1105.965018,262.220991,228.0705294,102.2831068,1768.403036,388.800205,3218.965252,1204.046305,4368.228721,1512.384882,1267.357407,203.9331431,3
36,1352.982401,223.3942453,2719.595948,888.8637792,4700.182939,1916.785782,1421.492278,319.9729142,442.0621369,208.3628884,1230.732336,316.0991919,1216.489951,301.2293881,448.7979946,215.2642483,1348.344492,300.8846457,4585.514265,1849.500584,2849.210972,982.0747481,1375.305847,230.7917515,3
37,309.5990036,52.87744802,802.4377278,243.7754218,3687.944291,1445.981418,3277.610495,760.9590872,380.0198806,180.7393783,1236.458114,325.6507167,855.6772773,207.7985352,448.8564886,209.1349886,2551.655126,578.9181462,4537.649849,1766.44608,932.7586593,233.1896648,324.2402763,47.86998145,3
