deg_1_lob,cc_1_lob,ne_1_lob,deg_2_lob,cc_2_lob,ne_2_lob,deg_3_lob,cc_3_lob,ne_3_lob,deg_4_lob,cc_4_lob,ne_4_lob,deg_5_lob,cc_5_lob,ne_5_lob,deg_6_lob,cc_6_lob,ne_6_lob,deg_7_lob,cc_7_lob,ne_7_lob,deg_8_lob,cc_8_lob,ne_8_lob,deg_9_lob,cc_9_lob,ne_9_lob,deg_10_lob,cc_10_lob,ne_10_lob,deg_11_lob,cc_11_lob,ne_11_lob,deg_12_lob,cc_12_lob,ne_12_lob,id
61.60147687,0.8558364,10.13831906,17.49472256,0.732015221,3.912176265,73.78156,0.877409663,23.46621818,74.997,1,29.41882505,42.84033333,0.708275142,12.59743386,34.76734333,0.939116801,8.664799148,57.81344655,0.740573612,9.627851517,17.80031333,0.620747267,3.696634803,80.95224,0.864034753,26.51473054,48.908075,1,19.04306071,61.62566667,0.659843127,18.97187878,29.61009,0.818690249,7.969049274,3
58.50367545,0.777592225,9.88802819,17.04240444,0.39589861,3.632611326,82.33068,0.864232969,26.55342297,63.22945,1,24.65085387,40.12932667,0.767362429,11.58182148,32.32495333,1,8.325680649,62.61349855,0.817257208,10.6083844,14.78183333,0.294011374,2.681336782,106.2026,0.869701056,34.45222081,52.32746,1,20.62020592,64.43462667,0.761403337,19.01449227,29.89428667,0.794861412,7.92137006,3
78.58968727,0.760672794,13.18213963,20.76329511,0.727215094,4.600081156,93.9126,0.714557667,29.98603921,84.153,0.8485049,33.36831487,48.0237,0.675545817,14.16518854,37.24622,0.59033504,10.28951929,74.62962491,0.805704106,12.51970465,19.94328,0.305431286,4.172488051,103.94408,0.920931648,33.28934346,54.58095,0.871291435,21.99854714,75.86673667,0.87276621,22.21713478,30.02193333,0.526680666,8.311972623,3
67.91911364,0.718129958,11.13005068,18.72038467,0.829399056,3.900132756,76.6934,0.875448841,24.30688519,59.761205,1,23.52614442,45.65699747,0.616314034,13.945439,32.65757,0.923455324,8.116659926,65.96776709,0.772640413,11.11070452,19.60807416,0.915012369,3.932578761,82.74068,0.668828651,27.7006799,49.35133,1,19.07868435,63.835,0.705099513,18.90384476,31.76552333,0.849044686,8.127900664,3
63.71745491,0.788835508,10.59124438,16.62637049,0.548261039,3.454224461,81.42228,0.879110216,26.07771825,73.31005,1,29.57355348,44.93403667,0.694763764,13.23832107,34.16073333,0.705350371,9.462004907,61.40822109,0.794823105,10.57409685,17.01415556,0.619099487,3.404651892,91.75308,0.88770152,29.87129025,44.428755,1,17.00934661,62.780208,0.864136267,18.86113284,32.22463,0.785466974,8.359314865,3
63.23612727,0.76689656,10.63880841,14.93775111,0.264980163,3.303749837,88.80772,0.646408796,29.36689185,72.633,0.86645971,30.12670447,34.68093333,0.676293926,10.30086655,43.93686333,0.937971781,11.16190914,56.85189545,0.81446569,9.320404882,19.08785778,0.487563578,4.107021377,84.4798,0.862733329,27.71718764,51.52135,1,20.84229893,57.54656667,0.702891726,16.59426621,26.44902333,0.758888424,6.980851798,3
66.36052909,0.825645985,10.9657384,17.06738444,0.516405092,3.77166431,75.37088,0.844401416,24.50142844,74.67635,1,31.43162243,39.71002083,0.744195273,12.01891756,34.79324,1,8.540789161,61.40411455,0.78083785,10.68698675,18.002472,0.884481267,3.663053492,82.596616,0.73493409,26.89766805,48.27642,1,19.87489947,63.48913067,0.859666847,18.80140788,29.54175,1,7.410208764,3
59.60898182,0.76425051,10.00544514,18.15117133,0.676567614,3.76694962,62.3456,0.741639129,19.32520145,74.5447,0.855615269,31.32423259,36.92407,0.845041985,10.96309804,34.97340333,0.939681313,8.75491461,58.882408,0.74519035,9.891739313,18.71964689,0.725218185,3.698601374,72.61616,0.873410224,23.59279342,35.35415,1,14.09140687,70.669,0.702867406,20.56187401,31.27271333,0.85308053,7.94494544,3
61.63724909,0.797204116,9.964634322,17.30970667,0.481117244,3.537845372,90.9844,0.842202892,29.73518587,47.25325,0.869537752,18.53914896,39.39506667,0.675666198,11.46428201,32.65930333,1,8.565560154,58.24528418,0.779390077,9.754811492,17.51445556,0.659392011,3.663037045,97.14464,0.881573303,31.45275352,32.8527,0.843713118,13.57972493,59.93738,0.755386932,17.52554778,27.915074,0.819805014,7.512659126,3
56.50154182,0.678302329,9.572873125,17.75622889,0.513527411,3.62619136,74.17356,0.753726504,23.45126961,70.5465,0.848522449,28.09402576,37.88906667,0.706863965,10.9772233,34.19841333,1,8.707644544,56.622308,0.645427038,10.65386269,14.93687111,0.494489626,3.107365362,74.93684,0.887522013,25.01949212,32.03685,0.852549546,12.68630131,55.4355,0.657834996,17.0987787,32.40358,0.940493925,8.311272475,3
51.13368073,0.735448575,8.326875181,18.28986667,0.176069033,3.757685575,66.6866,0.863088792,20.48479321,85.71495,1,34.59705713,50.11041377,1,14.49392705,55.81803333,0.858472739,13.84315738,45.63956691,0.748138416,7.675530969,20.79651822,0.577680382,3.810078193,59.815,0.728189059,19.49124905,42.46986,0.817526029,17.85320806,65.78399083,0.84680912,19.54778343,47.26896667,0.780055043,11.72811456,3
59.37111002,0.790489343,10.08542572,17.89136836,0.461713094,3.89652556,71.56368,0.872016848,23.03093354,65.87545,0.851838127,27.4102386,40.23798767,0.845202226,11.96256024,32.19910667,0.925100501,8.16073755,59.80286665,0.793760184,10.36403727,16.17411111,0.41054843,3.394129197,80.932136,0.879999607,27.04826473,52.60055,0.882588311,22.06816514,63.29168233,0.652391317,19.17469726,30.64785667,0.942423034,7.837451189,3
77.53362411,0.861633536,13.12957791,19.37748444,0.654646035,3.907488673,93.83952,0.873241763,30.25048139,74.15395,1,29.24453718,46.98183333,0.669799201,14.12959675,39.91505333,0.924377515,10.39019553,73.08055162,0.800330778,12.39879765,20.49165733,0.825398557,4.266974242,97.13412,0.868381571,32.09707446,52.997245,1,21.27672551,75.883845,0.864832772,22.71733966,34.99700667,0.934564438,9.087451624,3
